Lecture ID,Lecture title,YouTube URL,Output name
some-basic-concepts-chemistry-lecture-01,Laws of Chemical Combination,https://youtu.be/Qy0Q_AYs63Y,comments-01-laws-of-chemical-combination
some-basic-concepts-chemistry-lecture-02,Concentration terms: Mole Fraction,https://youtu.be/3vwSPlDrgtU,comments-02-concentration-terms-mole-fraction
some-basic-concepts-chemistry-lecture-03,"Mole Concept, Stoichiometry, Percentage Composition",https://youtu.be/omuhMcN9z-M,comments-03-mole-concept-stoichiometry-percentage-composition
some-basic-concepts-chemistry-lecture-04,Molarity and Molality,https://youtu.be/xv908em4LtY,comments-04-molarity-and-molality
some-basic-concepts-chemistry-lecture-05,Equivalent Weight and Gram Equivalent part 1,https://youtu.be/OfXYPCM0zHg,comments-05-equivalent-weight-and-gram-equivalent-part-1
some-basic-concepts-chemistry-lecture-06,Normality,https://youtu.be/43o9FK_9BTQ,comments-06-normality
atomic-structure-lecture-01,Cathode Ray || Rutherford Alpha particle scattering experiment,https://youtu.be/Oj-vA63nsBI,comments-01-cathode-ray-rutherford-alpha-particle-scattering-experiment
atomic-structure-lecture-02,Bohr’s Atomic Model,https://youtu.be/w1gxYuOihJ4,comments-02-bohrs-atomic-model
atomic-structure-lecture-03,Atomic Spectrum || Hydrogen Spectrum,https://youtu.be/nRmfrVR4uC8,comments-03-atomic-spectrum-hydrogen-spectrum
atomic-structure-lecture-04,De Broglie Wavelength || Heisenberg’s Uncertainty Principle,https://youtu.be/YqUSyPUFVVY,comments-04-de-broglie-wavelength-heisenbergs-uncertainty-principle
atomic-structure-lecture-05,Quantum Number’s || Pauli’s Exclusion Principle,https://youtu.be/fOTAD7DmbzY,comments-05-quantum-numbers-paulis-exclusion-principle
atomic-structure-lecture-06,Aufbau’s Principle || Rules for filling electrons,https://youtu.be/rvA3K-ORxPg,comments-06-aufbaus-principle-rules-for-filling-electrons
atomic-structure-lecture-07,Hund’s Rule for Maximum Multiplicity,https://youtu.be/eMgVB0zoiPo,comments-07-hunds-rule-for-maximum-multiplicity
atomic-structure-lecture-08,How to do Electronic Configuration,https://youtu.be/ICHMWOFTlV8,comments-08-how-to-do-electronic-configuration
chemical-bonding-lecture-01,Intro to Chemical Bonds,https://youtu.be/daPAcFFSFdY,comments-01-intro-to-chemical-bonds
chemical-bonding-lecture-02,Ionic Bonds,https://youtu.be/OqdNZTHxPxM,comments-02-ionic-bonds
chemical-bonding-lecture-03,Lattice Energy and Born-Haber Cycle,https://youtu.be/ch9HorGagHE,comments-03-lattice-energy-and-born-haber-cycle
chemical-bonding-lecture-04,Fajan’s Rule,https://youtu.be/d3iFlT8SlvA,comments-04-fajans-rule
chemical-bonding-lecture-05,Lewis Dot structure,https://youtu.be/8-Qs1mnoJ2M,comments-05-lewis-dot-structure
chemical-bonding-lecture-06,VBT,https://youtu.be/8B__xDUKqbM,comments-06-vbt
chemical-bonding-lecture-07,More on VBT (Pi bonds),https://youtu.be/IrX7AcU07To,comments-07-more-on-vbt-pi-bonds
chemical-bonding-lecture-08,Hybridisation,https://youtu.be/AvhUUY8yD08,comments-08-hybridisation
chemical-bonding-lecture-09,VSEPR,https://youtu.be/x2-nP7i6T34,comments-09-vsepr
chemical-bonding-lecture-10,MOT part I,https://youtu.be/TQEhLXkNdmo,comments-10-mot-part-i
chemical-bonding-lecture-11,MOT part II,https://youtu.be/XCwMrnVvSTU,comments-11-mot-part-ii
chemical-bonding-lecture-12,Dipole Moment,https://youtu.be/4KDkldXTj6w,comments-12-dipole-moment
chemical-bonding-lecture-13,Bond Angle,https://youtu.be/AjWwHkAlPSo,comments-13-bond-angle
chemical-bonding-lecture-14,Drago's Rule,https://youtu.be/GfKmguqX-2g,comments-14-dragos-rule
chemical-bonding-lecture-15,Vanderwaal's Force,https://youtu.be/664YicsoYkg,comments-15-vanderwaals-force
chemical-bonding-lecture-16,Hydrogen Bonding,https://youtu.be/k8tYXDKb2yE,comments-16-hydrogen-bonding
states-of-matter-lecture-01,Basic Gas Laws,https://youtu.be/H4h4vsJ9it0,comments-01-basic-gas-laws
states-of-matter-lecture-02,Ideal Gas Equation,https://youtu.be/cgaNiTvh33E,comments-02-ideal-gas-equation
states-of-matter-lecture-03,Dalton’s Law of Partial Pressure,https://youtu.be/mbowrScsq5I,comments-03-daltons-law-of-partial-pressure
states-of-matter-lecture-04,Graham’s Law of Diffusion,https://youtu.be/MS9Uk43U5eg,comments-04-grahams-law-of-diffusion
states-of-matter-lecture-05,Kinetic Theory of Gases,https://youtu.be/EV6BNZ_F8zo,comments-05-kinetic-theory-of-gases
states-of-matter-lecture-06,Types of Speeds of Gas Molecules,https://youtu.be/c9CRzUiDNMg,comments-06-types-of-speeds-of-gas-molecules
states-of-matter-lecture-07,Real Gas and Ideal Gas || Compressibility Factor Z,https://youtu.be/MKo0d51Udxs,comments-07-real-gas-and-ideal-gas-compressibility-factor-z
states-of-matter-lecture-08,Vander Waal’s Corrections,https://youtu.be/dJHs85IPs-w,comments-08-vander-waals-corrections
thermodynamics-lecture-01,Reversible and Irreversible Process,https://youtu.be/q5CZUnsWkYQ,comments-01-reversible-and-irreversible-process
thermodynamics-lecture-02,Heat || Concept of Cp and Cv of a Gas,https://youtu.be/V3CNvFSd4r8,comments-02-heat-concept-of-cp-and-cv-of-a-gas
thermodynamics-lecture-03,Work done on/by a Gas,https://youtu.be/lBu-SJHNveA,comments-03-work-done-on-by-a-gas
thermodynamics-lecture-04,Work done in Isothermal and Adiabatic Expansion of Gas,https://youtu.be/bXNxBFBfwjs,comments-04-work-done-in-isothermal-and-adiabatic-expansion-of-gas
thermodynamics-lecture-05,First Law Of Thermodynamics,https://youtu.be/K1pNjKHmH8E,comments-05-first-law-of-thermodynamics
thermodynamics-lecture-06,What is Enthalpy || Relation between Enthalpy and Internal Energy,https://youtu.be/UuT1LNp5SJY,comments-06-what-is-enthalpy-relation-between-enthalpy-and-internal-energy
thermodynamics-lecture-07,Heat of Reaction | Enthalpy Of Formation || Enthalpy Of Combustion,https://youtu.be/OxGEY-ydojk,comments-07-heat-of-reaction-enthalpy-of-formation-enthalpy-of-combustion
thermodynamics-lecture-08,Hess's Law,https://youtu.be/wvnS_xmfRZc,comments-08-hesss-law
thermodynamics-lecture-09,Second Law Of Thermodynamics Introduction,https://youtu.be/a7CxGA6qQPE,comments-09-second-law-of-thermodynamics-introduction
