Category	Topic / Chapter	Lecture # in Topic	Lecture Title	Current YouTube URL	Current Playlist URL(s)	MyNotes URL	MyNotes_old URL	JEE Syllabus Unit	JEE Syllabus Unit Name	Syllabus Mapping Confidence	Source Plan Status	Recommended Primary Source	Recommended Source URL	Source Plan Notes	
Physical Chemistry	Some Basic Concepts in Chemistry	1	Laws of Chemical Combination	https://www.youtube.com/watch?v=Qy0Q_AYs63Y	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHzAKa-IGFTkzNKWgHWaqe5	01_physical_chem_lectures/01_some_basic_concepts_in_chemistry/01_laws_of_chemical_combination.html		Unit 1	Some Basic Concepts in Chemistry	High	Keep current source / no change decided				
Physical Chemistry	Some Basic Concepts in Chemistry	2	Concentration terms: Mole Fraction	https://www.youtube.com/watch?v=3vwSPlDrgtU	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHzAKa-IGFTkzNKWgHWaqe5	01_physical_chem_lectures/01_some_basic_concepts_in_chemistry/02_concentration_terms_mole_fraction.html		Unit 1	Some Basic Concepts in Chemistry	High	Keep current source / no change decided				
Physical Chemistry	Some Basic Concepts in Chemistry	3	Mole Concept, Stoichiometry, Percentage Composition	https://www.youtube.com/watch?v=omuhMcN9z-M	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHzAKa-IGFTkzNKWgHWaqe5	01_physical_chem_lectures/01_some_basic_concepts_in_chemistry/03_mole_concept_stoichiometry_percentage_composition.html		Unit 1	Some Basic Concepts in Chemistry	High	Keep current source / no change decided				
Physical Chemistry	Some Basic Concepts in Chemistry	4	Molarity and Molality	https://www.youtube.com/watch?v=xv908em4LtY&t=0s	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHzAKa-IGFTkzNKWgHWaqe5	01_physical_chem_lectures/01_some_basic_concepts_in_chemistry/04_molarity_and_molality_molarity_molality.html		Unit 1	Some Basic Concepts in Chemistry	High	Keep current source / no change decided				
Physical Chemistry	Some Basic Concepts in Chemistry	5	Equivalent Weight and Gram Equivalent part 1	https://www.youtube.com/watch?v=OfXYPCM0zHg	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHzAKa-IGFTkzNKWgHWaqe5	01_physical_chem_lectures/01_some_basic_concepts_in_chemistry/05_equivalent_weight_and_gram_equivalent_part_1.html		Unit 1	Some Basic Concepts in Chemistry	High	Keep current source / no change decided				
Physical Chemistry	Some Basic Concepts in Chemistry	6	Normality	https://www.youtube.com/watch?v=43o9FK_9BTQ	https://www.youtube.com/playlist?list=PLF_7kfnwLFCHzAKa-IGFTkzNKWgHWaqe5	01_physical_chem_lectures/01_some_basic_concepts_in_chemistry/06_normality.html		Unit 1	Some Basic Concepts in Chemistry	High	Keep current source / no change decided				
Physical Chemistry	Atomic Structure	1	Cathode Ray || Rutherford Alpha particle scattering experiment	https://youtu.be/Oj-vA63nsBI	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFnjki8KSeTQHyJ7OkdBdNA	01_physical_chem_lectures/02_atomic_structure/01_cathode_ray_rutherford_alpha_particle_scattering_experiment.html	01_physical_chem_lectures/02_atomic_structure_OLD/01_cathode_ray_rutherford_alpha_particle_scattering_experiment.html	Unit 2	Atomic Structure	High	Keep current source / no change decided				
Physical Chemistry	Atomic Structure	2	Bohr’s Atomic Model	https://youtu.be/w1gxYuOihJ4	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFnjki8KSeTQHyJ7OkdBdNA	01_physical_chem_lectures/02_atomic_structure/02_bohrs_atomic_model.html	01_physical_chem_lectures/02_atomic_structure_OLD/02_bohrs_atomic_model.html	Unit 2	Atomic Structure	High	Keep current source / no change decided				
Physical Chemistry	Atomic Structure	3	Atomic Spectrum || Hydrogen Spectrum	https://youtu.be/nRmfrVR4uC8	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFnjki8KSeTQHyJ7OkdBdNA	01_physical_chem_lectures/02_atomic_structure/03_atomic_spectrum_hydrogen_spectrum.html	01_physical_chem_lectures/02_atomic_structure_OLD/03_atomic_spectrum_hydrogen_spectrum.html	Unit 2	Atomic Structure	High	Keep current source / no change decided				
Physical Chemistry	Atomic Structure	4	De Broglie Wavelength || Heisenberg’s Uncertainty Principle	https://youtu.be/YqUSyPUFVVY	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFnjki8KSeTQHyJ7OkdBdNA	01_physical_chem_lectures/02_atomic_structure/04_de_broglie_wavelength_heisenbergs_uncertainty_principle.html		Unit 2	Atomic Structure	High	Keep current source / no change decided				
Physical Chemistry	Atomic Structure	5	Quantum Number’s || Pauli’s Exclusion Principle	https://youtu.be/fOTAD7DmbzY	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFnjki8KSeTQHyJ7OkdBdNA	01_physical_chem_lectures/02_atomic_structure/05_quantum_numbers_paulis_exclusion_principle.html		Unit 2	Atomic Structure	High	Keep current source / no change decided				
Physical Chemistry	Atomic Structure	6	Aufbau’s Principle || Rules for filling electrons	https://youtu.be/rvA3K-ORxPg	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFnjki8KSeTQHyJ7OkdBdNA	01_physical_chem_lectures/02_atomic_structure/06_aufbaus_principle_rules_for_filling_electrons.html		Unit 2	Atomic Structure	High	Keep current source / no change decided				
Physical Chemistry	Atomic Structure	7	Hund’s Rule for Maximum Multiplicity	https://youtu.be/eMgVB0zoiPo	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFnjki8KSeTQHyJ7OkdBdNA	01_physical_chem_lectures/02_atomic_structure/07_hunds_rule_for_maximum_multiplicity.html		Unit 2	Atomic Structure	High	Keep current source / no change decided				
Physical Chemistry	Atomic Structure	8	How to do Electronic Configuration	https://youtu.be/ICHMWOFTlV8	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFnjki8KSeTQHyJ7OkdBdNA	01_physical_chem_lectures/02_atomic_structure/08_how_to_do_electronic_configuration.html		Unit 2	Atomic Structure	High	Keep current source / no change decided				
Physical Chemistry	Chemical Bonding and Molecular Structure	1	Intro to Chemical Bonds	https://youtu.be/daPAcFFSFdY	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGzzyaPRyNjSXRRR7W_qmny	01_physical_chem_lectures/03_chemical_bonding/01_intro_to_chemical_bonds.html	01_physical_chem_lectures/03_chemical_bonding_OLD/01_intro_to_chemical_bonds.html	Unit 3	Chemical Bonding and Molecular Structure	High	Keep current source / no change decided				
Physical Chemistry	Chemical Bonding and Molecular Structure	2	Ionic Bonds	https://youtu.be/OqdNZTHxPxM	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGzzyaPRyNjSXRRR7W_qmny	01_physical_chem_lectures/03_chemical_bonding/02_ionic_bonds.html	01_physical_chem_lectures/03_chemical_bonding_OLD/02_ionic_bonds.html	Unit 3	Chemical Bonding and Molecular Structure	High	Keep current source / no change decided				
Physical Chemistry	Chemical Bonding and Molecular Structure	3	Lattice Energy and Born-Haber Cycle	https://youtu.be/ch9HorGagHE	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGzzyaPRyNjSXRRR7W_qmny	01_physical_chem_lectures/03_chemical_bonding/03_lattice_energy_and_born_haber_cycle.html	01_physical_chem_lectures/03_chemical_bonding_OLD/03_lattice_energy_and_born_haber_cycle.html	Unit 3	Chemical Bonding and Molecular Structure	High	Keep current source / no change decided				
Physical Chemistry	Chemical Bonding and Molecular Structure	4	Fajan’s Rule	https://youtu.be/d3iFlT8SlvA	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGzzyaPRyNjSXRRR7W_qmny	01_physical_chem_lectures/03_chemical_bonding/04_fajans_rule.html	01_physical_chem_lectures/03_chemical_bonding_OLD/04_fajans_rule.html	Unit 3	Chemical Bonding and Molecular Structure	High	Keep current source / no change decided				
Physical Chemistry	Chemical Bonding and Molecular Structure	5	Lewis Dot structure	https://youtu.be/8-Qs1mnoJ2M	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGzzyaPRyNjSXRRR7W_qmny	01_physical_chem_lectures/03_chemical_bonding/05_lewis_dot_structure.html	01_physical_chem_lectures/03_chemical_bonding_OLD/05_lewis_dot_structure.html	Unit 3	Chemical Bonding and Molecular Structure	High	Keep current source / no change decided				
Physical Chemistry	Chemical Bonding and Molecular Structure	6	VBT	https://youtu.be/8B__xDUKqbM	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGzzyaPRyNjSXRRR7W_qmny	01_physical_chem_lectures/03_chemical_bonding/06_vbt.html	01_physical_chem_lectures/03_chemical_bonding_OLD/06_vbt.html	Unit 3	Chemical Bonding and Molecular Structure	High	Keep current source / no change decided				
Physical Chemistry	Chemical Bonding and Molecular Structure	7	More on VBT (Pi bonds)	https://youtu.be/IrX7AcU07To	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGzzyaPRyNjSXRRR7W_qmny	01_physical_chem_lectures/03_chemical_bonding/07_more_on_vbt_pi_bonds.html	01_physical_chem_lectures/03_chemical_bonding_OLD/07_more_on_vbt_pi_bonds.html	Unit 3	Chemical Bonding and Molecular Structure	High	Keep current source / no change decided				
Physical Chemistry	Chemical Bonding and Molecular Structure	8	Hybridisation	https://youtu.be/AvhUUY8yD08	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGzzyaPRyNjSXRRR7W_qmny	01_physical_chem_lectures/03_chemical_bonding/08_hybridisation.html	01_physical_chem_lectures/03_chemical_bonding_OLD/08_hybridisation.html	Unit 3	Chemical Bonding and Molecular Structure	High	Keep current source / no change decided				
Physical Chemistry	Chemical Bonding and Molecular Structure	9	VSEPR	https://youtu.be/x2-nP7i6T34	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGzzyaPRyNjSXRRR7W_qmny	01_physical_chem_lectures/03_chemical_bonding/09_vsepr.html	01_physical_chem_lectures/03_chemical_bonding_OLD/09_vsepr.html	Unit 3	Chemical Bonding and Molecular Structure	High	Keep current source / no change decided				
Physical Chemistry	Chemical Bonding and Molecular Structure	10	MOT part I	https://youtu.be/TQEhLXkNdmo	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGzzyaPRyNjSXRRR7W_qmny	01_physical_chem_lectures/03_chemical_bonding/10_mot_part_i.html	01_physical_chem_lectures/03_chemical_bonding_OLD/10_mot_part_i.html	Unit 3	Chemical Bonding and Molecular Structure	High	Keep current source / no change decided				
Physical Chemistry	Chemical Bonding and Molecular Structure	11	MOT part II	https://youtu.be/XCwMrnVvSTU	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGzzyaPRyNjSXRRR7W_qmny	01_physical_chem_lectures/03_chemical_bonding/11_mot_part_ii.html		Unit 3	Chemical Bonding and Molecular Structure	High	Keep current source / no change decided				
Physical Chemistry	Chemical Bonding and Molecular Structure	12	Dipole Moment	https://youtu.be/4KDkldXTj6w	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGzzyaPRyNjSXRRR7W_qmny	01_physical_chem_lectures/03_chemical_bonding/12_dipole_moment.html		Unit 3	Chemical Bonding and Molecular Structure	High	Keep current source / no change decided				
Physical Chemistry	Chemical Bonding and Molecular Structure	13	Bond Angle	https://youtu.be/AjWwHkAlPSo	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGzzyaPRyNjSXRRR7W_qmny	01_physical_chem_lectures/03_chemical_bonding/13_bond_angle.html		Unit 3	Chemical Bonding and Molecular Structure	High	Keep current source / no change decided				
Physical Chemistry	Chemical Bonding and Molecular Structure	14	Drago's Rule	https://youtu.be/GfKmguqX-2g	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGzzyaPRyNjSXRRR7W_qmny	01_physical_chem_lectures/03_chemical_bonding/14_dragos_rule.html		Unit 3	Chemical Bonding and Molecular Structure	High	Keep current source / no change decided				
Physical Chemistry	Chemical Bonding and Molecular Structure	15	Vanderwaal's Force	https://youtu.be/664YicsoYkg	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGzzyaPRyNjSXRRR7W_qmny	01_physical_chem_lectures/03_chemical_bonding/15_vanderwaals_force.html		Unit 3	Chemical Bonding and Molecular Structure	High	Keep current source / no change decided				
Physical Chemistry	Chemical Bonding and Molecular Structure	16	Hydrogen Bonding	https://youtu.be/k8tYXDKb2yE	https://www.youtube.com/playlist?list=PLF_7kfnwLFCGzzyaPRyNjSXRRR7W_qmny	01_physical_chem_lectures/03_chemical_bonding/16_hydrogen_bonding.html		Unit 3	Chemical Bonding and Molecular Structure	High	Keep current source / no change decided				
Physical Chemistry	States of Matter	1	Basic Gas Laws	https://youtu.be/H4h4vsJ9it0	https://www.youtube.com/playlist?list=PLF_7kfnwLFCEzJZWNHb_K9tFC78F0AXOl	01_physical_chem_lectures/04_states_of_matter/01_basic_gas_laws.html		Not explicit in JEE Main 2025 Chemistry syllabus	States of Matter / Gaseous State	Review	Keep current source / no change decided				
Physical Chemistry	States of Matter	2	Ideal Gas Equation	https://youtu.be/cgaNiTvh33E	https://www.youtube.com/playlist?list=PLF_7kfnwLFCEzJZWNHb_K9tFC78F0AXOl	01_physical_chem_lectures/04_states_of_matter/02_ideal_gas_equation.html		Not explicit in JEE Main 2025 Chemistry syllabus	States of Matter / Gaseous State	Review	Keep current source / no change decided				
Physical Chemistry	States of Matter	3	Dalton’s Law of Partial Pressure	https://youtu.be/mbowrScsq5I	https://www.youtube.com/playlist?list=PLF_7kfnwLFCEzJZWNHb_K9tFC78F0AXOl	01_physical_chem_lectures/04_states_of_matter/03_daltons_law_of_partial_pressure.html		Not explicit in JEE Main 2025 Chemistry syllabus	States of Matter / Gaseous State	Review	Keep current source / no change decided				
Physical Chemistry	States of Matter	4	Graham’s Law of Diffusion	https://youtu.be/MS9Uk43U5eg	https://www.youtube.com/playlist?list=PLF_7kfnwLFCEzJZWNHb_K9tFC78F0AXOl	01_physical_chem_lectures/04_states_of_matter/04_grahams_law_of_diffusion.html		Not explicit in JEE Main 2025 Chemistry syllabus	States of Matter / Gaseous State	Review	Keep current source / no change decided				
Physical Chemistry	States of Matter	5	Kinetic Theory of Gases	https://youtu.be/EV6BNZ_F8zo	https://www.youtube.com/playlist?list=PLF_7kfnwLFCEzJZWNHb_K9tFC78F0AXOl	01_physical_chem_lectures/04_states_of_matter/05_kinetic_theory_of_gases.html		Not explicit in JEE Main 2025 Chemistry syllabus	States of Matter / Gaseous State	Review	Keep current source / no change decided				
Physical Chemistry	States of Matter	6	Types of Speeds of Gas Molecules	https://youtu.be/c9CRzUiDNMg	https://www.youtube.com/playlist?list=PLF_7kfnwLFCEzJZWNHb_K9tFC78F0AXOl	01_physical_chem_lectures/04_states_of_matter/06_types_of_speeds_of_gas_molecules.html		Not explicit in JEE Main 2025 Chemistry syllabus	States of Matter / Gaseous State	Review	Keep current source / no change decided				
Physical Chemistry	States of Matter	7	Real Gas and Ideal Gas || Compressibility Factor Z	https://youtu.be/MKo0d51Udxs	https://www.youtube.com/playlist?list=PLF_7kfnwLFCEzJZWNHb_K9tFC78F0AXOl	01_physical_chem_lectures/04_states_of_matter/07_real_gas_and_ideal_gas_compressibility_factor_z.html		Not explicit in JEE Main 2025 Chemistry syllabus	States of Matter / Gaseous State	Review	Keep current source / no change decided				
Physical Chemistry	States of Matter	8	Vander Waal’s Corrections	https://youtu.be/dJHs85IPs-w	https://www.youtube.com/playlist?list=PLF_7kfnwLFCEzJZWNHb_K9tFC78F0AXOl	01_physical_chem_lectures/04_states_of_matter/08_vander_waals_corrections.html		Not explicit in JEE Main 2025 Chemistry syllabus	States of Matter / Gaseous State	Review	Keep current source / no change decided				
Physical Chemistry	Chemical Thermodynamics	1	Reversible and Irreversible Process	https://youtu.be/q5CZUnsWkYQ	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFijVGjd7zrjtWrxi4-4xeY	01_physical_chem_lectures/05_chemical_thermodynamics/01_reversible_and_irreversible_process.html		Unit 4	Chemical Thermodynamics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Thermodynamics	2	Heat || Concept of Cp and Cv of a Gas	https://youtu.be/V3CNvFSd4r8	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFijVGjd7zrjtWrxi4-4xeY	01_physical_chem_lectures/05_chemical_thermodynamics/02_heat_concept_of_cp_and_cv_of_a_gas.html		Unit 4	Chemical Thermodynamics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Thermodynamics	3	Work done on/by a Gas	https://youtu.be/lBu-SJHNveA	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFijVGjd7zrjtWrxi4-4xeY	01_physical_chem_lectures/05_chemical_thermodynamics/03_work_done_on_by_a_gas.html		Unit 4	Chemical Thermodynamics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Thermodynamics	4	Work done in Isothermal and Adiabatic Expansion of Gas	https://youtu.be/bXNxBFBfwjs	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFijVGjd7zrjtWrxi4-4xeY	01_physical_chem_lectures/05_chemical_thermodynamics/04_work_done_in_isothermal_and_adiabatic_expansion_of_gas.html		Unit 4	Chemical Thermodynamics	High	Keep current source / no change decided				
Physical Chemistry	Chemical Thermodynamics	5	First Law Of Thermodynamics	https://youtu.be/K1pNjKHmH8E	https://www.youtube.com/playlist?list=PLF_7kfnwLFCFijVGjd7zrjtWrxi4-4xeY	01_physical_chem_lectures/05_chemical_thermodynamics/05_first_law_of_thermodynamics.html		Unit 4	Chemical Thermodynamics	High	Keep current source / no change decided				
